id,type,x,y,from_id,to_id,lead_time_days,amount
beb6ba68-6d89-48e0-a6aa-1ee978bafa27,refinery,446,50,,,,
22911035-11f8-4557-8631-df09db9c1c1a,refinery,511,50,,,,
0d62c455-8a4c-44a2-ae6f-79b35dd44e46,refinery,510,50,,,,
d8cfd6b6-f574-4868-a608-abea355bc74c,refinery,114,50,,,,
94811572-da3d-4a47-b972-bb4c264a4639,refinery,598,50,,,,
6186930b-db2b-476d-97b4-252b52d25347,refinery,612,50,,,,
08c75fd4-8900-4aa8-b917-56fa78694d5a,refinery,689,50,,,,
21b22968-9ef1-4568-bdd3-29d4488191ed,tank,390,200,,,,
87a8efdf-9da5-4b21-ab65-f6663ea23cd1,tank,632,200,,,,
50c02c0a-fa06-4b4d-b1a6-5b9183734c9e,tank,325,200,,,,
22715913-b12d-4d4b-b871-bed1a0d83237,tank,180,200,,,,
9ba06385-f553-4f2f-b4e7-f398373071a8,tank,305,200,,,,
1a7dbcc5-1715-4597-a344-d0109701c758,tank,64,200,,,,
5836e521-b619-425b-a9b4-40262d7042b0,tank,287,200,,,,
0371ddb6-7712-4571-aaca-19c7b8b342cc,tank,540,200,,,,
a0d520af-35e5-4c83-b8c4-2814b4264044,tank,730,200,,,,
bc3b038a-13b7-4c8a-941f-869b63fbcf29,tank,595,200,,,,
cf8a5b5f-6eba-4a3f-8910-b33a99c6ddd7,tank,450,200,,,,
4eaed72a-c488-49eb-84ac-3463600ecce4,tank,660,200,,,,
cb9ffff3-bf7f-4648-bb1a-8bdf06ae0a6f,tank,355,200,,,,
e2ce90b3-8e0b-406d-9a32-a795fa4cc819,tank,726,200,,,,
ddca09dc-5925-45d4-98b7-d6c96ff63adc,tank,391,200,,,,
ce70af1c-c431-4426-940c-6d958b8af0fb,tank,243,200,,,,
6877f2c1-fc8b-4b5e-bdea-3ab557407606,tank,119,200,,,,
169a8ef4-2abf-44a2-9aa1-87286403945c,gas_station,189,500,,,,
7f79b7d4-6720-4dbe-a22c-f93acd4a1967,gas_station,172,500,,,,
0748a8fa-1821-4a9d-8f4f-10181d462131,gas_station,670,500,,,,
b957069a-b63c-4abf-a894-a7377c923997,gas_station,389,500,,,,
09d62b4e-fffa-4be2-a2db-e933f1b32a6c,gas_station,592,500,,,,
77809886-709a-42b2-8043-54a94c9be671,gas_station,142,500,,,,
8a742c53-b1ce-48b0-b09f-2c1f8b80dad2,gas_station,263,500,,,,
a25ea661-de5b-466a-a20b-fdbbd08062f7,gas_station,297,500,,,,
ff1144c3-c029-4371-9827-04cbf439d507,gas_station,418,500,,,,
56763333-a862-4051-987f-f34d76640a2c,gas_station,689,500,,,,
ea45f457-04ea-4836-ac83-19094c520cf5,gas_station,428,500,,,,
792ab988-434a-477a-978c-1e55eeb62a12,gas_station,327,500,,,,
bef371ad-2659-4dd1-86f5-5e2a288dcf16,gas_station,249,500,,,,
dfe0a0b6-4218-45e7-8a77-0ca14d85ae57,gas_station,525,500,,,,
14425341-827c-4b2c-87c2-08b1a5259e39,gas_station,460,500,,,,
86c65c5b-2b26-4a6e-bb8e-0d1d58e7e556,gas_station,319,500,,,,
2631b5b8-b2e8-4a40-aae5-48a63e7acf4a,gas_station,295,500,,,,
6d93855b-47ec-4704-ad19-a1d945c293a1,gas_station,197,500,,,,
26dc299d-15ef-480e-8c9d-b0017ffe0abd,gas_station,463,500,,,,
aab5f897-19bd-4365-ac06-ef4ddb699c81,gas_station,182,500,,,,
38b396b6-cb41-4faa-af11-07da0fbeb596,gas_station,394,500,,,,
bbfc9268-ad67-400e-974d-7928fd2ef41b,gas_station,130,500,,,,
5d9879a2-dccc-49a8-8744-28386dd1191a,gas_station,742,500,,,,
11fb565e-a1ce-4d66-8353-cb66a86349dd,gas_station,139,500,,,,
7532e3a4-379a-4000-be2f-0cf4d8eb2c71,gas_station,519,500,,,,
66148329-341e-4ee8-81f7-0651a68e78c1,gas_station,611,500,,,,
a55945a8-bef5-424a-9b57-896889360887,gas_station,180,500,,,,
e951f8da-0e5d-4474-803c-a5e6a54d82cb,gas_station,351,500,,,,
f245b1a4-11d8-43b8-87ba-4fc0d44dd963,gas_station,651,500,,,,
81d5b94f-085a-42d0-9040-64d785af4002,gas_station,418,500,,,,
1d57f92c-17a1-4eaf-9133-950423577d1d,gas_station,486,500,,,,
11da4659-be42-4441-a624-4b4c94db09cc,gas_station,364,500,,,,
0429d91f-d2f4-4c9c-bab8-072cc78d3f8d,gas_station,285,500,,,,
4151ba49-c8ba-4b25-84af-f179b8c2827e,gas_station,660,500,,,,
776a8f29-ae92-4fe0-8fc4-349f02fe81c5,gas_station,347,500,,,,
199fa375-0fbd-4c3d-bbd7-5fe415f43229,gas_station,729,500,,,,
5f9c4117-0aaf-43aa-abca-9786af1777c6,gas_station,243,500,,,,
9e222434-cf28-4edf-bca7-8a5e5297e2c3,gas_station,213,500,,,,
a2ff2631-f55c-4783-b212-ae49d37fc9d8,gas_station,99,500,,,,
013de60f-1a61-4d89-a5a1-fe6e1333e30c,gas_station,301,500,,,,
19a8f9f1-98a2-4001-b896-117f1209de61,gas_station,249,500,,,,
ce8afdd5-32bf-4ac0-ae23-e9735a5b37e6,gas_station,685,500,,,,
6161a190-ff2f-4ffc-962e-c6e059906921,gas_station,553,500,,,,
acd69b3f-12ba-412f-92a4-c3616d7e5603,gas_station,278,500,,,,
f231bfd2-b73d-457c-a8a9-7d2342040b32,gas_station,251,500,,,,
c2afe10b-63b2-4a26-aeb3-cf1b47ef46c5,gas_station,584,500,,,,
d43c034b-1640-4b90-9464-07d3825bbdc9,gas_station,617,500,,,,
ba40ec88-e7f4-4b79-980f-20d4c7199ded,gas_station,359,500,,,,
6e103115-14ef-4569-97e4-01c42488976a,gas_station,401,500,,,,
e0f874ec-033d-4b55-9868-0774704856e3,gas_station,578,500,,,,
f0d84283-5d5a-4873-a617-1fabd11f9307,gas_station,350,500,,,,
